t,stimulus,Vr,Vh,Ve,G,K,Vk,reakcja,Vp,swiadomosc,myslenie,decyzja
29.700000000000003,2.0,1.9202417187259235,-0.10218849069044225,0.14526636426508469,0.10000191850600648,0.18158295533135585,1.815794717182844,0.0,2.0,0.381721598803133,-0.17125210399286228,0.0
29.8,2.0,1.9937874699229394,-0.10265790453642254,0.14388276919605664,0.10000183060010237,0.17985346149507078,1.7985016915769008,0.0,2.0,0.37817030247084765,-0.1730984419409329,0.0
29.900000000000002,2.0,1.9528445286035798,-0.10319447018972935,0.15731313066136401,0.10000181300787696,0.196641413326705,1.9663784826702684,0.0,2.0,0.4135751331190189,-0.1751276725874938,0.0
30.0,0.5,0.5803696698525965,-0.10367701064440825,0.14650809093577952,0.10000198391909354,0.1831351136697244,1.831314804893167,0.0,0.5,0.11055445796416313,-0.17702636270042388,0.0
30.1,0.5,0.579272017331181,-0.10417527523288404,0.14965291769515782,0.10000184639132924,0.18706614711894726,1.8706269320959958,1.0,0.5,0.11302074092234514,-0.17897512943671104,0.0
30.200000000000003,0.5,0.40687354301517104,-0.10467057195237489,0.14905934389817013,0.10000188640131717,0.18632417987271266,1.8632066511723173,1.0,0.5,0.11266474841219033,-0.18092539528429444,0.0
30.3,0.5,0.5242599995784424,-0.10518828753610232,0.15354311674548604,0.1000018788480974,0.19192889593185755,1.9192528994719895,1.0,0.5,0.11615311985769566,-0.18294426247347112,0.0
30.400000000000002,0.5,0.5282770557668048,-0.10569338779984352,0.15102005274824204,0.10000193591245339,0.18877506593530252,1.8877141148603913,1.0,0.5,0.11433980921849221,-0.1849394900985552,0.0
30.5,0.5,0.5205800683415888,-0.10617786363837145,0.14689516770558375,0.10000190379677885,0.1836189596319797,1.8361546396669122,1.0,0.5,0.11130574867321381,-0.1868891169842776,0.0
30.6,0.5,0.4465279198159502,-0.10667818953996928,0.15006518031956562,0.10000185131622288,0.18758147539945702,1.8757800273746177,1.0,0.5,0.11380158988657887,-0.18889020220296263,0.0
30.700000000000003,0.5,0.5068762194927023,-0.10718758797767017,0.1518796875401762,0.10000189164706617,0.18984960942522022,1.8984601820858653,1.0,0.5,0.11527432642540222,-0.19092515437424185,0.0
30.8,0.5,0.49951431289956755,-0.10764852254340379,0.14218691314672535,0.10000191473825863,0.1777336414334067,1.7773023836453556,1.0,0.5,0.10799958462326868,-0.19283843076489837,0.0
30.900000000000002,0.5,0.47556382538222447,-0.1081994689187822,0.1601892750756804,0.10000179144597152,0.2002365938446005,2.002330067784669,1.0,0.5,0.12178379003439191,-0.19500498007610753,0.0
31.0,0.5,0.5107740060211471,-0.10868004453839936,0.14611512392343215,0.10000202055819407,0.18264390490429017,1.8264021455246935,1.0,0.5,0.11117170017181051,-0.19698995484807408,0.0
31.1,0.5,0.47843984922510674,-0.10917133109079903,0.14825731047993385,0.10000184139257715,0.1853216380999173,1.8531822566386584,1.0,0.5,0.11289262896125396,-0.1990131358392036,0.0
31.200000000000003,0.5,0.566069964954787,-0.10967422421964917,0.15057862577002773,0.1000018686450081,0.18822328221253465,1.8821976505329072,1.0,0.5,0.11475488356300315,-0.20107746008487717,0.0
31.3,0.5,0.4901668591948009,-0.11016152384968328,0.14745992600682128,0.10000189818046108,0.1843249075085266,1.8432140875556,1.0,0.5,0.11246796644885451,-0.2031080113543363,0.0
31.400000000000002,0.5,0.4920999480161412,-0.11068931874254466,0.1555589785722756,0.10000185850017014,0.19444872321534448,1.9444510945265447,1.0,0.5,0.11874775831073635,-0.20526035102464268,0.0
31.5,0.5,0.5130506953979095,-0.11122009810461707,0.15615587241448203,0.10000196157891039,0.19519484051810254,1.951910116923822,1.0,0.5,0.11930700957098972,-0.20743130995583653,0.0
31.6,0.5,0.46376284171579923,-0.11170056774600026,0.14609392827663903,0.10000196917779776,0.1826174103457988,1.8261381435511086,1.0,0.5,0.11170717358882941,-0.20947115679742953,0.0
31.700000000000003,0.5,0.49009168116136487,-0.11217399752538598,0.14468595587714414,0.10000184112395565,0.18085744484643015,1.8085411509799232,1.0,0.5,0.11071622499386616,-0.21149990705449465,0.0
31.8,0.5,0.47521789716962287,-0.11267665663673125,0.15053182226905426,0.10000182322066291,0.18816477783631783,1.8816134723975535,1.0,0.5,0.1152841669815485,-0.21362008486083361,0.0
31.900000000000002,0.5,0.4920096034260935,-0.11316273775302314,0.14721622325837927,0.10000189758572706,0.18402027907297408,1.8401678719668486,1.0,0.5,0.11283437811846013,-0.21570250871903093,0.0
32.0,0.0,-0.03520211449589152,-0.11309962399328626,0.03737724805262256,0.10000185540016918,0.0467215600657782,0.46720693209957337,1.0,0.0,0.005284190875819252,-0.21623092780661285,0.0
32.1,0.0,-0.007519615336173891,-0.11303609640690875,0.03729448272449834,0.10000185354569639,0.046618103405622925,0.4661723933378948,1.0,0.0,0.005269528430865234,-0.21675788064969936,0.0
32.2,0.0,-0.06724666121358862,-0.11290363356193911,0.02350743100607354,0.10000185169307715,0.02938428875759192,0.2938374466082623,1.0,0.0,0.003317592970365365,-0.2170896399467359,0.0
32.300000000000004,0.0,0.08091047073042339,-0.11281817915212335,0.032909118036848414,0.10000184984230961,0.041136397546060514,0.41135636601650327,1.0,0.0,0.004640933468024422,-0.21755373329353836,0.0
32.4,0.0,-0.012455239069354893,-0.11273436577383025,0.0332373243413814,0.10000184799339192,0.041546655426726746,0.4154588766146815,1.0,0.0,0.004683735849555903,-0.21802210687849394,0.0
32.5,0.0,-0.016431048942961473,-0.11264750706662874,0.03262825855969575,0.10000184614632221,0.04078532319961968,0.40784570256775854,1.0,0.0,0.004594364983343895,-0.21848154337682832,0.0
32.6,0.0,-0.05730140957252405,-0.11253106169483251,0.02671092564075536,0.10000184430109865,0.033388657050944195,0.33388041274932145,1.0,0.0,0.0037572610265074057,-0.21885726947947906,0.0
32.7,0.0,-0.03825779937203415,-0.11243880266420878,0.03154819387525366,0.1000018424577194,0.039435242344067076,0.3943451577978698,0.0,0.0,0.004434051431939808,-0.21930067462267305,0.0
32.800000000000004,0.0,0.012820578956294832,-0.11234363571813272,0.030966610784787126,0.1000018406161826,0.038708263480983905,0.3870755102353588,0.0,0.0,0.004348627051789155,-0.21973553732785198,0.0
32.9,0.0,0.04065102790645368,-0.11223892646552133,0.02905814947772266,0.10000183877648641,0.03632268684715332,0.36322018966409175,0.0,0.0,0.0040768193780678,-0.22014321926565875,0.0
33.0,0.0,0.005174117211282402,-0.11214834342568152,0.03188339203203618,0.100001836938629,0.03985424004004522,0.3985350795556257,0.0,0.0,0.004469586998980539,-0.2205901779655568,0.0
33.1,0.0,-0.016255218572650713,-0.11204486271673128,0.029303858209952238,0.10000183510260854,0.0366298227624403,0.3662915057994252,0.0,0.0,0.0041041834627558215,-0.2210005963118324,0.0
33.2,0.0,-0.019605048139331293,-0.11197647608702603,0.03632267405895107,0.10000183326842318,0.04540334257368884,0.4540251022380557,0.0,0.0,0.005084106303973719,-0.22150900694222975,0.0
33.300000000000004,0.0,0.04460644769643664,-0.11187775501079518,0.03025578475382948,0.1000018314360711,0.03781973094228685,0.37819038310777486,0.0,0.0,0.0042311865929353576,-0.22193212560152328,0.0
33.4,0.0,-0.00969015214201036,-0.11177984667062385,0.030418331965735464,0.10000182960555044,0.03802291495716933,0.38022219300534604,0.0,0.0,0.004250195603882558,-0.22235714516191155,0.0
33.5,0.0,0.0047412855982372675,-0.11169035794384904,0.03210225464504018,0.1000018277768594,0.04012781830630022,0.40127084872728563,0.0,0.0,0.00448189039013641,-0.2228053342009252,0.0
33.6,0.0,0.017152192909197003,-0.11158118950882483,0.028166312995156324,0.10000182594999613,0.035207891243945404,0.3520724837719502,0.0,0.0,0.003928538385096767,-0.22319818803943486,0.0
33.7,0.0,-0.0787677906289358,-0.11148259646728759,0.030281391692551198,0.1000018241249588,0.037851739615688995,0.37851049165254,0.0,0.0,0.004219810213160699,-0.22362016906075094,0.0
33.800000000000004,0.0,-0.03112421627807991,-0.11137809323891042,0.02909935432456555,0.10000182230174559,0.03637419290570693,0.3637353007023353,0.0,0.0,0.004051288248941941,-0.22402529788564512,0.0
33.9,0.0,-0.00602393717743365,-0.11128034861471403,0.03045107516072399,0.10000182048035469,0.03806384395090499,0.3806315101871831,0.0,0.0,0.0042357578244727806,-0.2244488736680924,0.0
34.0,0.0,0.016897670595549207,-0.11097175456386214,-0.011718810170377441,0.10000181866078428,-0.0146485127129718,-0.14648246311060556,0.0,0.0,-0.001625571157509521,-0.22428631655234146,0.0
34.1,0.0,-0.12161873966239178,-0.11067435715478124,-0.009479481816178737,0.10000181684303253,-0.01184935227022342,-0.11849136990003603,0.0,0.0,-0.0013114194452075248,-0.22415517460782072,0.0
34.2,0.0,0.010698328917918314,-0.11035318745570802,-0.01423393981464525,0.10000181502709761,-0.017792424768306562,-0.17792101836836988,0.0,0.0,-0.0019634507857485164,-0.22395882952924587,0.0
34.300000000000004,0.0,0.01839480001837304,-0.11009141015547425,-0.0023554600467556234,0.10000181321297773,-0.002944325058444529,-0.02944271672528463,0.0,0.0,-0.0003241448976402573,-0.22392641503948185,0.0
34.4,0.0,0.060706346510938626,-0.10979239060785999,-0.009803909522852443,0.10000181140067105,-0.012254886903565554,-0.12254664922482914,0.0,0.0,-0.0013454933297714171,-0.22379186570650472,0.0
34.5,0.0,0.006257534050976468,-0.10949190031838887,-0.01009805789422265,0.10000180959017578,-0.012622572367778312,-0.12622343955082146,0.0,0.0,-0.0013820694354544328,-0.22365365876295928,0.0
34.6,0.0,-0.013165959421676027,-0.10917518178832908,-0.01334370601195967,0.10000180778149009,-0.016679632514949586,-0.16679330989091293,0.0,0.0,-0.0018210019119821457,-0.22347155857176107,0.0
34.7,0.0,-0.060255291449920735,-0.10886620753082404,-0.011794851501005841,0.1000018059746122,-0.0147435643762573,-0.14743298116036324,0.0,0.0,-0.0016050759391296916,-0.2233110509778481,0.0
34.800000000000004,0.0,-0.012843563379299339,-0.10857778858626384,-0.007683788912040378,0.10000180416954027,-0.009604736140050472,-0.09604562857452921,0.0,0.0,-0.001042861010041248,-0.22320676487684396,0.0
34.9,0.0,0.05145980617266217,-0.10830061739227631,-0.005434238797506773,0.10000180236627251,-0.006792798496883466,-0.06792676067981016,0.0,0.0,-0.0007356642710338059,-0.22313319844974058,0.0
35.0,0.0,0.012854785198815994,-0.10800936604946013,-0.008250268563237038,0.10000180056480712,-0.010312835704046298,-0.10312650018099391,0.0,0.0,-0.0011138828465662785,-0.22302181016508396,0.0
35.1,0.0,0.03738067917044076,-0.10770965932152007,-0.009941345588011461,0.1000017987651423,-0.012426681985014325,-0.12426458462211085,0.0,0.0,-0.0013384736831027638,-0.2228879627967737,0.0
35.2,0.0,0.0004775590465767802,-0.10740873252341428,-0.010185359621158581,0.10000179696727624,-0.012731699526448226,-0.12731470746085136,0.0,0.0,-0.0013674957090047577,-0.2227512132258732,0.0
35.300000000000004,0.0,-0.017476052549152545,-0.10713361115852008,-0.005024272978840984,0.10000179517120715,-0.006280341223551229,-0.06280228482697764,0.0,0.0,-0.0006728356345867616,-0.22268392966241454,0.0
35.4,0.0,-0.016965174859072868,-0.1068368808151637,-0.00934606867127632,0.10000179337693323,-0.0116825858390954,-0.11682376330053043,0.0,0.0,-0.0012481310309043544,-0.22255911655932412,0.0
35.5,0.0,0.05042715927930169,-0.1065460418454254,-0.008167793947658977,0.10000179158445269,-0.010209742434573722,-0.10209559521692643,0.0,0.0,-0.0010878076446651072,-0.2224503357948576,0.0
35.6,0.0,-0.0088781472299576,-0.1062602836658647,-0.007151635912140946,0.10000178979376373,-0.008939544890176182,-0.0893938489362284,0.0,0.0,-0.0009499185758738523,-0.22235534393727022,0.0
35.7,0.0,-0.05092678261454786,-0.10593627111282239,-0.014802510608461576,0.10000178800486456,-0.01850313826057697,-0.1850280742948005,0.0,0.0,-0.0019601534712105186,-0.22215932859014917,0.0
35.800000000000004,0.0,0.04186237713243658,-0.10563144593858652,-0.010965034847172879,0.10000178621775341,-0.013706293558966097,-0.1370604873909023,0.0,0.0,-0.001447815607092324,-0.22201454702943993,0.0
35.9,0.0,-0.02791540083368115,-0.10533678298837416,-0.008932590042470769,0.10000178443242846,-0.01116573755308846,-0.11165538311602016,0.0,0.0,-0.001176162873534819,-0.22189693074208644,0.0
36.0,0.0,0.05121753427145467,-0.10505140671279349,-0.007075255116134284,0.10000178264888795,-0.008844068895167855,-0.08843911239282495,0.0,0.0,-0.0009290818785022445,-0.2218040225542362,0.0
36.1,0.0,-0.0022805518953647515,-0.10471073703956577,-0.018133934645545264,0.10000178086713009,-0.02266741830693158,-0.2266701463751853,0.0,0.0,-0.0023735220777029516,-0.2215666703464659,0.0
36.2,0.0,-0.008646694981265543,-0.10442313140729204,-0.0075211264547458126,0.10000177908715309,-0.009401408068432265,-0.09401240812164745,0.0,0.0,-0.000981724470143478,-0.22146849789945156,0.0
